County,Date,Deaths,Case,Vehicles
PHILADELPHIA (101),2015-12-08,1,421048,2
PHILADELPHIA (101),2015-11-16,1,421052,2
PHILADELPHIA (101),2015-10-23,1,421070,2
PHILADELPHIA (101),2016-01-06,1,420015,1
PHILADELPHIA (101),2016-01-29,1,420031,1
PHILADELPHIA (101),2016-01-21,1,420036,1
PHILADELPHIA (101),2016-02-07,1,420083,1
PHILADELPHIA (101),2016-02-26,1,420084,1
PHILADELPHIA (101),2016-02-18,1,420116,2
PHILADELPHIA (101),2016-03-09,1,420128,1
PHILADELPHIA (101),2016-03-29,1,420131,1
PHILADELPHIA (101),2016-02-01,1,420137,2
PHILADELPHIA (101),2016-03-30,1,420139,5
PHILADELPHIA (101),2016-03-04,1,420141,3
PHILADELPHIA (101),2016-03-15,1,420168,1
PHILADELPHIA (101),2016-03-20,1,420172,4
PHILADELPHIA (101),2016-03-25,1,420174,2
PHILADELPHIA (101),2016-04-08,2,420197,1
PHILADELPHIA (101),2016-04-03,1,420199,1
PHILADELPHIA (101),2016-04-16,1,420202,1
PHILADELPHIA (101),2016-04-21,1,420214,3
PHILADELPHIA (101),2016-04-17,1,420241,2
PHILADELPHIA (101),2016-04-13,1,420256,2
PHILADELPHIA (101),2016-05-21,1,420295,1
PHILADELPHIA (101),2016-05-10,1,420319,1
PHILADELPHIA (101),2016-05-01,3,420331,2
PHILADELPHIA (101),2016-05-12,1,420334,1
PHILADELPHIA (101),2016-05-28,1,420340,2
PHILADELPHIA (101),2016-06-01,1,420376,1
PHILADELPHIA (101),2016-06-01,1,420383,2
PHILADELPHIA (101),2016-06-30,1,420425,2
PHILADELPHIA (101),2016-07-02,1,420441,1
PHILADELPHIA (101),2016-07-21,1,420442,1
PHILADELPHIA (101),,1,420443,1
PHILADELPHIA (101),2016-05-31,1,420444,5
PHILADELPHIA (101),2016-07-27,1,420445,5
PHILADELPHIA (101),2016-06-13,1,420446,1
PHILADELPHIA (101),2016-06-06,1,420464,2
PHILADELPHIA (101),2016-06-13,1,420472,1
PHILADELPHIA (101),2016-06-16,1,420473,2
PHILADELPHIA (101),2016-05-26,1,420477,2
PHILADELPHIA (101),2016-05-27,1,420478,1
PHILADELPHIA (101),2016-07-22,1,420483,2
PHILADELPHIA (101),2016-07-26,1,420496,2
PHILADELPHIA (101),2016-06-23,1,420507,2
PHILADELPHIA (101),2016-05-24,1,420508,1
PHILADELPHIA (101),2016-07-24,1,420526,2
PHILADELPHIA (101),2016-08-15,1,420550,1
PHILADELPHIA (101),2016-08-14,2,420560,3
PHILADELPHIA (101),2016-08-08,1,420561,3
PHILADELPHIA (101),2016-08-28,1,420585,1
PHILADELPHIA (101),2016-08-30,1,420624,2
PHILADELPHIA (101),2016-09-02,1,420632,1
PHILADELPHIA (101),2016-09-12,1,420633,2
PHILADELPHIA (101),2016-09-25,1,420637,2
PHILADELPHIA (101),2016-09-27,1,420640,1
PHILADELPHIA (101),2016-08-15,1,420695,2
PHILADELPHIA (101),2016-10-10,1,420699,1
PHILADELPHIA (101),2016-09-18,1,420702,2
PHILADELPHIA (101),2016-10-06,1,420720,1
PHILADELPHIA (101),2016-10-14,2,420725,2
PHILADELPHIA (101),2016-10-17,1,420727,2
PHILADELPHIA (101),2016-08-30,1,420742,1
PHILADELPHIA (101),2016-09-25,1,420743,1
PHILADELPHIA (101),2016-08-20,1,420749,1
PHILADELPHIA (101),2016-08-24,1,420755,1
PHILADELPHIA (101),2016-09-05,1,420759,2
PHILADELPHIA (101),2016-11-13,1,420823,1
PHILADELPHIA (101),2016-10-29,1,420844,1
PHILADELPHIA (101),2016-10-31,1,420845,1
PHILADELPHIA (101),2016-11-06,1,420851,1
PHILADELPHIA (101),2016-11-11,1,420853,1
PHILADELPHIA (101),2016-11-18,1,420871,1
PHILADELPHIA (101),2016-11-28,1,420873,1
PHILADELPHIA (101),2016-11-18,1,420881,1
PHILADELPHIA (101),2016-08-09,1,420896,1
PHILADELPHIA (101),2016-08-28,1,420897,2
PHILADELPHIA (101),,1,420898,1
PHILADELPHIA (101),2016-09-22,2,420899,2
PHILADELPHIA (101),2016-10-07,1,420900,2
PHILADELPHIA (101),2016-10-10,1,420905,1
PHILADELPHIA (101),2016-06-09,1,420918,1
PHILADELPHIA (101),2016-08-23,1,420920,1
PHILADELPHIA (101),2016-09-03,1,420936,2
PHILADELPHIA (101),2016-09-22,1,420938,1
PHILADELPHIA (101),2016-11-05,1,420944,3
PHILADELPHIA (101),2016-11-11,1,420948,1
PHILADELPHIA (101),2016-11-05,1,420952,2
PHILADELPHIA (101),2016-11-25,2,420968,2
PHILADELPHIA (101),2016-11-30,1,420972,4
PHILADELPHIA (101),2016-12-18,2,420973,2
PHILADELPHIA (101),2016-12-23,1,421004,2
PHILADELPHIA (101),2016-12-15,1,421020,1
PHILADELPHIA (101),2016-12-14,1,421021,2
PHILADELPHIA (101),2016-12-12,1,421037,1
PHILADELPHIA (101),2016-12-25,1,421053,2
PHILADELPHIA (101),2017-01-01,1,420042,1
PHILADELPHIA (101),2017-01-10,1,420047,2
PHILADELPHIA (101),2017-01-27,1,420052,2
PHILADELPHIA (101),2017-01-28,2,420056,1
PHILADELPHIA (101),2017-01-27,1,420057,1
PHILADELPHIA (101),2017-01-31,1,420058,1
PHILADELPHIA (101),2017-02-11,1,420071,5
PHILADELPHIA (101),2017-02-13,1,420100,1
PHILADELPHIA (101),2017-02-21,2,420121,3
PHILADELPHIA (101),2017-03-24,1,420141,1
PHILADELPHIA (101),2017-02-04,1,420148,2
PHILADELPHIA (101),2017-03-30,1,420185,2
PHILADELPHIA (101),2017-04-14,2,420191,2
PHILADELPHIA (101),2017-03-31,1,420193,2
PHILADELPHIA (101),2017-03-20,1,420196,1
PHILADELPHIA (101),2017-03-03,1,420197,1
PHILADELPHIA (101),2017-03-19,1,420249,4
PHILADELPHIA (101),2017-05-16,1,420269,2
PHILADELPHIA (101),2017-04-23,1,420281,1
PHILADELPHIA (101),2017-04-02,1,420282,1
PHILADELPHIA (101),2017-05-03,1,420321,1
PHILADELPHIA (101),2017-05-21,1,420327,5
PHILADELPHIA (101),2017-05-19,1,420339,2
PHILADELPHIA (101),2017-06-09,1,420342,2
PHILADELPHIA (101),2017-06-11,1,420344,2
PHILADELPHIA (101),2017-06-10,1,420350,1
PHILADELPHIA (101),2017-06-23,1,420365,3
PHILADELPHIA (101),2017-06-22,1,420376,4
PHILADELPHIA (101),2017-07-02,1,420387,4
PHILADELPHIA (101),2017-06-10,1,420394,1
PHILADELPHIA (101),2017-05-18,1,420412,1
PHILADELPHIA (101),2017-06-11,1,420417,1
PHILADELPHIA (101),2017-07-08,1,420489,2
PHILADELPHIA (101),2017-06-25,1,420500,2
PHILADELPHIA (101),2017-07-22,1,420502,1
PHILADELPHIA (101),2017-06-14,1,420510,2
PHILADELPHIA (101),2017-06-24,1,420520,1
PHILADELPHIA (101),2017-04-08,1,420533,1
PHILADELPHIA (101),2017-04-03,1,420536,1
PHILADELPHIA (101),2017-05-01,1,420537,2
PHILADELPHIA (101),2017-06-13,1,420550,2
PHILADELPHIA (101),2017-07-27,1,420554,3
PHILADELPHIA (101),2017-03-12,1,420561,2
PHILADELPHIA (101),2017-04-22,1,420562,2
PHILADELPHIA (101),2017-07-04,1,420576,2
PHILADELPHIA (101),2017-07-02,1,420581,1
PHILADELPHIA (101),2017-07-13,1,420584,1
PHILADELPHIA (101),2017-08-09,1,420586,1
PHILADELPHIA (101),2017-08-04,1,420612,1
PHILADELPHIA (101),2017-07-21,1,420613,1
PHILADELPHIA (101),2017-06-28,1,420623,2
PHILADELPHIA (101),2017-08-31,1,420651,1
PHILADELPHIA (101),2017-08-02,1,420658,2
PHILADELPHIA (101),2017-08-04,1,420685,2
PHILADELPHIA (101),2017-09-18,1,420691,2
PHILADELPHIA (101),2017-08-22,1,420695,1
PHILADELPHIA (101),2017-09-01,1,420712,1
PHILADELPHIA (101),2017-08-06,1,420715,1
PHILADELPHIA (101),2017-07-22,1,420718,2
PHILADELPHIA (101),2017-09-30,1,420720,1
PHILADELPHIA (101),2017-09-10,1,420721,5
PHILADELPHIA (101),2017-08-31,1,420735,1
PHILADELPHIA (101),2017-10-04,1,420748,1
PHILADELPHIA (101),2017-10-09,1,420768,4
PHILADELPHIA (101),2017-10-14,1,420774,1
PHILADELPHIA (101),2017-09-27,1,420778,2
PHILADELPHIA (101),2017-10-15,1,420782,3
PHILADELPHIA (101),2017-10-05,1,420788,2
PHILADELPHIA (101),2017-10-20,1,420794,1
PHILADELPHIA (101),2017-08-27,1,420802,1
PHILADELPHIA (101),2017-10-05,1,420829,3
PHILADELPHIA (101),2017-09-27,1,420839,1
PHILADELPHIA (101),2017-10-09,1,420841,1
PHILADELPHIA (101),2017-11-02,1,420881,1
PHILADELPHIA (101),2017-10-15,1,420919,2
PHILADELPHIA (101),2017-10-15,1,420927,1
PHILADELPHIA (101),2017-11-28,1,420931,1
PHILADELPHIA (101),2017-11-14,1,420932,1
PHILADELPHIA (101),2017-11-25,1,420935,1
PHILADELPHIA (101),2017-11-06,1,420940,1
PHILADELPHIA (101),2017-10-10,1,421022,1
PHILADELPHIA (101),2017-11-19,1,421027,1
PHILADELPHIA (101),2017-11-05,1,421031,1
PHILADELPHIA (101),2017-12-22,1,421042,3
PHILADELPHIA (101),2017-12-13,1,421043,3
PHILADELPHIA (101),2017-12-26,1,421044,1
PHILADELPHIA (101),2017-09-23,1,421045,1
PHILADELPHIA (101),2017-12-13,1,421046,2
PHILADELPHIA (101),2017-12-20,1,421047,2
PHILADELPHIA (101),2017-12-20,1,421048,2
PHILADELPHIA (101),2017-12-05,1,421063,1
PHILADELPHIA (101),2018-03-04,1,420007,1
PHILADELPHIA (101),2018-01-27,1,420057,2
PHILADELPHIA (101),2018-02-05,1,420075,1
PHILADELPHIA (101),2018-02-17,1,420082,1
PHILADELPHIA (101),2018-03-01,1,420150,2
PHILADELPHIA (101),2018-03-04,1,420151,1
PHILADELPHIA (101),2018-03-04,1,420153,2
PHILADELPHIA (101),2018-03-04,1,420157,1
PHILADELPHIA (101),2018-03-10,1,420172,2
PHILADELPHIA (101),2018-03-17,1,420173,1
PHILADELPHIA (101),2018-03-13,1,420244,2
PHILADELPHIA (101),2018-05-10,1,420275,2
PHILADELPHIA (101),2018-04-21,1,420276,1
PHILADELPHIA (101),2018-05-11,1,420277,2
PHILADELPHIA (101),2018-02-26,1,420278,2
PHILADELPHIA (101),2018-05-21,1,420283,2
PHILADELPHIA (101),2018-05-12,1,420288,1
PHILADELPHIA (101),2018-05-20,1,420289,2
PHILADELPHIA (101),2018-03-31,1,420298,1
PHILADELPHIA (101),2018-05-10,2,420306,3
PHILADELPHIA (101),2018-05-27,3,420308,3
PHILADELPHIA (101),2018-05-14,1,420312,2
PHILADELPHIA (101),2018-05-18,1,420313,1
PHILADELPHIA (101),2018-06-07,1,420317,2
PHILADELPHIA (101),2018-05-05,1,420318,1
PHILADELPHIA (101),2018-04-28,1,420340,2
PHILADELPHIA (101),2018-04-16,1,420348,2
PHILADELPHIA (101),2018-04-14,1,420351,1
PHILADELPHIA (101),2018-01-21,1,420357,2
PHILADELPHIA (101),2018-06-07,1,420362,2
