County,Date,Deaths,Case,Vehicles
DALLAS (113),2014-04-16,1,480828,1
HARRIS (201),2014-04-16,1,480829,2
DALLAS (113),2014-04-17,1,480833,3
DALLAS (113),2014-04-17,1,480834,2
DALLAS (113),2014-04-18,1,480843,1
HARRIS (201),2014-04-18,1,480845,3
HARRIS (201),2014-04-18,1,480846,2
HARRIS (201),2014-04-18,1,480847,2
DALLAS (113),2014-04-19,1,480851,2
HARRIS (201),2014-04-19,1,480852,1
HARRIS (201),2014-04-19,5,480853,2
HARRIS (201),2014-04-20,1,480868,2
HARRIS (201),2014-04-21,1,480879,1
DALLAS (113),2014-04-22,1,480880,1
HARRIS (201),2014-04-22,1,480881,2
BEXAR (29),2014-04-26,1,480893,2
BEXAR (29),2014-04-30,1,480901,2
BEXAR (29),2014-04-06,1,480904,1
HARRIS (201),2014-04-10,1,480905,1
HARRIS (201),2014-04-18,1,480911,4
HARRIS (201),2014-04-20,1,480915,2
DALLAS (113),2014-04-24,2,480918,1
DALLAS (113),2014-04-25,1,480920,1
HARRIS (201),2014-04-25,1,480921,2
HARRIS (201),2014-04-26,1,480925,2
DALLAS (113),2014-04-27,1,480927,1
HARRIS (201),2014-04-28,1,480936,2
HARRIS (201),2014-04-29,1,480938,1
BEXAR (29),2014-04-30,1,480941,2
HARRIS (201),2014-04-30,1,480942,2
HARRIS (201),2014-04-18,1,480946,1
BEXAR (29),2014-04-25,1,480947,3
DALLAS (113),2014-04-26,1,480948,2
BEXAR (29),2014-04-29,1,480952,3
HARRIS (201),2014-04-28,1,480960,1
DALLAS (113),2014-03-13,1,480967,2
DALLAS (113),2014-04-26,1,480978,2
BEXAR (29),2014-05-01,1,480981,2
DALLAS (113),2014-05-01,1,480983,1
BEXAR (29),2014-05-02,1,480990,2
DALLAS (113),2014-05-02,1,480992,1
DALLAS (113),2014-05-02,1,480993,2
HARRIS (201),2014-05-02,1,480997,3
HARRIS (201),2014-05-02,1,480998,2
BEXAR (29),2014-05-03,1,481002,1
BEXAR (29),2014-05-03,1,481003,1
HARRIS (201),2014-05-03,1,481007,1
BEXAR (29),2014-05-04,1,481013,1
HARRIS (201),2014-05-04,1,481015,1
DALLAS (113),2014-05-06,1,481028,1
DALLAS (113),2014-05-07,1,481035,2
HARRIS (201),2014-05-07,1,481038,1
HARRIS (201),2014-05-07,1,481039,1
BEXAR (29),2014-05-08,1,481043,2
DALLAS (113),2014-05-08,1,481045,1
DALLAS (113),2014-05-08,1,481046,3
DALLAS (113),2014-05-09,1,481053,1
DALLAS (113),2014-05-09,1,481054,2
HARRIS (201),2014-05-09,1,481055,3
DALLAS (113),2014-05-10,1,481060,3
DALLAS (113),2014-05-09,1,481062,3
HARRIS (201),2014-05-11,1,481069,1
HARRIS (201),2014-05-12,1,481075,1
BEXAR (29),2014-05-13,1,481078,1
BEXAR (29),2014-05-13,1,481079,1
DALLAS (113),2014-05-13,1,481080,5
HARRIS (201),2014-05-13,1,481081,1
BEXAR (29),2014-05-15,1,481088,1
HARRIS (201),2014-05-16,1,481094,2
DALLAS (113),2014-05-17,1,481096,1
DALLAS (113),2014-05-17,1,481097,1
HARRIS (201),2014-05-17,1,481098,2
BEXAR (29),2014-05-18,1,481101,1
HARRIS (201),2014-05-18,1,481102,1
HARRIS (201),2014-05-18,2,481103,1
HARRIS (201),2014-05-18,1,481104,1
HARRIS (201),2014-05-18,1,481105,1
HARRIS (201),2014-05-18,1,481106,1
HARRIS (201),2014-05-18,1,481107,2
HARRIS (201),2014-05-18,1,481108,2
DALLAS (113),2014-05-19,1,481113,2
HARRIS (201),2014-05-19,1,481114,1
BEXAR (29),2014-05-23,1,481124,2
BEXAR (29),2014-05-24,1,481126,1
HARRIS (201),2014-05-25,1,481130,2
HARRIS (201),2014-04-04,1,481135,2
HARRIS (201),2014-04-23,1,481137,2
DALLAS (113),2014-05-13,1,481146,1
HARRIS (201),2014-05-19,1,481151,1
DALLAS (113),2014-05-21,1,481154,1
BEXAR (29),2014-05-22,1,481156,2
DALLAS (113),2014-05-25,1,481168,1
DALLAS (113),2014-05-25,1,481169,1
HARRIS (201),2014-05-25,1,481170,1
HARRIS (201),2014-05-25,1,481171,1
HARRIS (201),2014-05-25,1,481172,2
DALLAS (113),2014-05-26,1,481176,1
DALLAS (113),2014-05-28,1,481184,1
HARRIS (201),2014-05-30,1,481192,1
BEXAR (29),2014-05-31,1,481193,1
BEXAR (29),2014-05-31,1,481194,1
DALLAS (113),2014-02-16,1,481199,2
HARRIS (201),2014-05-03,1,481203,2
HARRIS (201),2014-05-13,1,481205,2
DALLAS (113),2014-05-22,1,481213,2
DALLAS (113),2014-05-22,1,481214,2
BEXAR (29),2014-05-24,1,481218,1
HARRIS (201),2014-05-24,1,481219,2
DALLAS (113),2014-05-30,1,481224,2
BEXAR (29),2014-05-31,1,481227,1
DALLAS (113),2014-02-23,1,481232,2
DALLAS (113),2014-06-01,1,481241,3
BEXAR (29),2014-06-02,1,481245,1
DALLAS (113),2014-06-02,1,481247,1
HARRIS (201),2014-06-04,1,481260,2
DALLAS (113),2014-06-07,1,481279,1
HARRIS (201),2014-06-07,1,481281,2
HARRIS (201),2014-06-07,1,481282,1
HARRIS (201),2014-06-07,1,481284,3
HARRIS (201),2014-06-07,1,481285,3
HARRIS (201),2014-05-24,1,481288,2
DALLAS (113),2014-06-06,1,481291,2
HARRIS (201),2014-06-06,2,481292,1
DALLAS (113),2014-06-08,1,481297,1
HARRIS (201),2014-06-08,1,481298,2
HARRIS (201),2014-06-08,1,481299,1
BEXAR (29),2014-06-10,1,481310,2
BEXAR (29),2014-06-11,1,481316,1
DALLAS (113),2014-06-11,1,481318,1
BEXAR (29),2014-06-13,1,481328,3
HARRIS (201),2014-06-13,1,481331,3
DALLAS (113),2014-06-14,1,481338,2
BEXAR (29),2014-06-15,1,481343,1
HARRIS (201),2014-06-15,1,481346,5
HARRIS (201),2014-06-15,1,481347,3
BEXAR (29),2014-06-16,1,481353,1
DALLAS (113),2014-06-16,1,481355,1
BEXAR (29),2014-06-18,1,481365,1
HARRIS (201),2014-06-22,1,481376,1
BEXAR (29),2014-06-23,1,481378,1
BEXAR (29),2014-06-06,2,481384,2
DALLAS (113),2014-06-12,1,481387,1
HARRIS (201),2014-06-13,1,481391,1
HARRIS (201),2014-06-14,1,481395,1
DALLAS (113),2014-06-15,1,481400,2
HARRIS (201),2014-06-15,1,481401,2
DALLAS (113),2014-06-19,2,481412,2
DALLAS (113),2014-06-22,1,481422,1
HARRIS (201),2014-06-29,5,481443,2
HARRIS (201),2014-06-29,1,481444,1
HARRIS (201),2014-06-07,1,481452,3
HARRIS (201),2014-06-11,1,481456,2
HARRIS (201),2014-06-14,3,481458,2
HARRIS (201),2014-06-13,2,481480,1
HARRIS (201),2014-06-22,4,481481,3
DALLAS (113),2014-06-29,1,481490,1
DALLAS (113),2014-07-03,1,481505,1
HARRIS (201),2014-07-03,1,481507,1
HARRIS (201),2014-07-04,1,481514,1
HARRIS (201),2014-07-04,1,481515,1
HARRIS (201),2014-07-04,1,481516,1
HARRIS (201),2014-07-04,1,481517,4
HARRIS (201),2014-07-04,1,481518,1
DALLAS (113),2014-07-08,1,481543,2
BEXAR (29),2014-07-09,1,481547,1
DALLAS (113),2014-07-09,1,481548,1
DALLAS (113),2014-07-09,1,481549,2
HARRIS (201),2014-07-09,1,481551,2
DALLAS (113),2014-07-11,1,481561,2
HARRIS (201),2014-06-14,1,481573,2
DALLAS (113),2014-07-07,1,481576,2
BEXAR (29),2014-07-12,1,481586,1
DALLAS (113),2014-07-12,1,481588,1
DALLAS (113),2014-07-12,1,481589,1
DALLAS (113),2014-07-13,1,481598,1
DALLAS (113),2014-07-13,1,481599,1
BEXAR (29),2014-07-15,1,481610,2
DALLAS (113),2014-07-16,1,481617,2
HARRIS (201),2014-07-16,1,481618,1
BEXAR (29),2014-07-17,1,481624,4
HARRIS (201),2014-07-14,1,481627,1
BEXAR (29),2014-07-18,2,481632,1
DALLAS (113),2014-07-18,1,481634,1
BEXAR (29),2014-07-19,2,481637,2
HARRIS (201),2014-07-19,1,481641,1
BEXAR (29),2014-07-20,1,481647,1
DALLAS (113),2014-07-20,1,481649,2
DALLAS (113),2014-07-20,1,481650,1
HARRIS (201),2014-07-20,1,481652,1
DALLAS (113),2014-07-22,1,481656,1
DALLAS (113),2014-07-21,1,481657,1
HARRIS (201),2014-07-28,1,481675,2
HARRIS (201),2014-07-20,1,481676,1
HARRIS (201),2014-06-26,1,481679,3
HARRIS (201),2014-07-17,1,481684,3
HARRIS (201),2014-07-19,2,481688,2
HARRIS (201),2014-07-19,1,481689,2
DALLAS (113),2014-07-20,1,481692,1
DALLAS (113),2014-07-25,2,481696,2
HARRIS (201),2014-07-25,1,481698,3
HARRIS (201),2014-07-28,1,481705,3
BEXAR (29),2014-07-30,1,481710,2
HARRIS (201),2014-07-30,1,481711,1
BEXAR (29),2014-02-28,1,481715,1
BEXAR (29),2014-07-14,1,481724,1
DALLAS (113),2014-07-20,1,481728,1
DALLAS (113),2014-07-23,1,481731,2
DALLAS (113),2014-07-23,1,481732,1
HARRIS (201),2014-07-23,1,481733,2
HARRIS (201),2014-07-27,1,481740,3
DALLAS (113),2014-07-30,1,481746,1
HARRIS (201),2014-06-28,1,481750,3
HARRIS (201),2014-07-15,1,481759,2
BEXAR (29),2014-08-01,1,481760,1
DALLAS (113),2014-08-01,1,481761,2
DALLAS (113),2014-08-02,1,481772,1
HARRIS (201),2014-08-02,1,481774,1
HARRIS (201),2014-08-02,1,481775,2
HARRIS (201),2014-08-03,1,481785,3
BEXAR (29),2014-08-04,1,481789,2
DALLAS (113),2014-08-04,1,481791,3
BEXAR (29),2014-08-05,1,481797,1
DALLAS (113),2014-08-05,1,481799,1
HARRIS (201),2014-08-06,1,481807,2
BEXAR (29),2014-08-08,1,481822,1
HARRIS (201),2014-08-08,1,481823,6
HARRIS (201),2014-08-08,1,481824,4
BEXAR (29),2014-08-09,1,481832,1
DALLAS (113),2014-08-09,1,481833,1
HARRIS (201),2014-08-10,1,481846,1
BEXAR (29),2014-08-12,1,481853,2
HARRIS (201),2014-08-12,1,481858,2
BEXAR (29),2014-08-15,1,481875,2
HARRIS (201),2014-08-15,1,481878,1
HARRIS (201),2014-08-16,1,481880,1
HARRIS (201),2014-08-16,1,481881,2
BEXAR (29),2014-08-17,1,481886,1
DALLAS (113),2014-08-17,1,481887,1
DALLAS (113),2014-08-19,1,481896,1
HARRIS (201),2014-08-19,1,481899,4
HARRIS (201),2014-08-20,1,481903,1
HARRIS (201),2014-08-21,1,481906,2
HARRIS (201),2014-08-22,1,481910,1
HARRIS (201),2014-08-23,1,481913,3
BEXAR (29),2014-08-24,1,481915,1
HARRIS (201),2014-08-24,1,481916,2
HARRIS (201),2014-08-24,1,481917,2
BEXAR (29),2014-08-25,1,481924,1
HARRIS (201),2014-08-26,1,481927,2
HARRIS (201),2014-08-30,1,481932,2
HARRIS (201),2014-08-30,1,481933,3
HARRIS (201),2014-08-31,1,481934,1
HARRIS (201),2014-08-05,1,481936,1
HARRIS (201),2014-08-08,2,481938,1
HARRIS (201),2014-08-20,1,481943,2
HARRIS (201),2014-08-21,1,481946,1
HARRIS (201),2014-08-22,2,481947,2
DALLAS (113),2014-08-26,1,481955,1
DALLAS (113),2014-08-26,1,481956,1
DALLAS (113),2014-08-28,1,481963,2
DALLAS (113),2014-08-29,1,481965,2
HARRIS (201),2014-08-30,1,481968,2
BEXAR (29),2014-08-31,1,481971,1
DALLAS (113),2014-08-31,6,481973,1
HARRIS (201),2014-08-31,1,481974,2
HARRIS (201),2014-08-13,1,481981,2
BEXAR (29),2014-08-20,1,481983,2
HARRIS (201),2014-08-19,1,482004,1
DALLAS (113),2014-08-24,1,482008,1
DALLAS (113),2014-08-30,1,482012,1
DALLAS (113),2014-09-01,1,482017,2
HARRIS (201),2014-09-01,1,482021,1
DALLAS (113),2014-09-02,1,482025,1
HARRIS (201),2014-09-03,1,482030,4
HARRIS (201),2014-09-03,1,482031,1
HARRIS (201),2014-09-03,1,482032,1
DALLAS (113),2014-09-04,1,482046,1
HARRIS (201),2014-09-04,1,482049,1
HARRIS (201),2014-09-04,1,482050,1
HARRIS (201),2014-09-05,1,482055,1
DALLAS (113),2014-09-06,1,482059,1
HARRIS (201),2014-09-06,2,482060,2
HARRIS (201),2014-09-06,1,482061,2
BEXAR (29),2014-09-07,1,482066,1
DALLAS (113),2014-09-07,1,482068,2
HARRIS (201),2014-09-07,1,482072,1
HARRIS (201),2014-09-08,1,482077,1
DALLAS (113),2014-09-09,1,482082,2
DALLAS (113),2014-09-10,1,482087,1
DALLAS (113),2014-09-10,1,482088,1
HARRIS (201),2014-09-10,2,482090,2
HARRIS (201),2014-09-11,2,482097,1
DALLAS (113),2014-09-12,1,482101,1
HARRIS (201),2014-09-13,1,482111,1
HARRIS (201),2014-09-13,1,482112,2
DALLAS (113),2014-09-14,1,482119,2
DALLAS (113),2014-09-15,1,482125,2
HARRIS (201),2014-09-17,1,482138,1
HARRIS (201),2014-09-18,1,482141,1
HARRIS (201),2014-09-01,1,482150,1
DALLAS (113),2014-09-19,1,482157,1
HARRIS (201),2014-09-19,1,482158,3
DALLAS (113),2014-09-20,1,482168,1
DALLAS (113),2014-09-21,1,482171,2
HARRIS (201),2014-09-21,1,482173,1
HARRIS (201),2014-09-21,1,482174,2
BEXAR (29),2014-09-22,1,482180,3
HARRIS (201),2014-09-22,1,482182,2
HARRIS (201),2014-09-22,1,482183,2
HARRIS (201),2014-09-22,1,482188,3
DALLAS (113),2014-09-23,1,482194,1
BEXAR (29),2014-09-24,1,482198,1
DALLAS (113),2014-09-24,1,482199,1
DALLAS (113),2014-09-25,1,482204,1
HARRIS (201),2014-09-25,1,482207,1
DALLAS (113),2014-09-26,1,482212,1
HARRIS (201),2014-09-26,1,482213,2
HARRIS (201),2014-09-26,1,482214,1
BEXAR (29),2014-09-27,1,482220,1
HARRIS (201),2014-09-27,1,482222,1
HARRIS (201),2014-09-27,1,482224,2
HARRIS (201),2014-09-27,1,482225,1
HARRIS (201),2014-09-27,1,482226,2
HARRIS (201),2014-09-27,1,482227,1
BEXAR (29),2014-09-29,1,482239,2
DALLAS (113),2014-09-29,1,482240,1
DALLAS (113),2014-09-30,1,482245,1
HARRIS (201),2014-09-30,1,482246,1
DALLAS (113),2014-09-16,1,482254,1
HARRIS (201),2014-09-20,1,482256,1
BEXAR (29),2014-09-30,1,482258,1
HARRIS (201),2014-09-30,1,482259,3
HARRIS (201),2014-09-07,1,482261,2
HARRIS (201),2014-09-21,1,482272,2
HARRIS (201),2014-09-23,1,482274,1
DALLAS (113),2014-09-24,1,482275,1
DALLAS (113),2014-09-26,1,482276,2
BEXAR (29),2014-10-01,1,482280,1
HARRIS (201),2014-10-01,1,482284,2
BEXAR (29),2014-10-03,1,482298,2
BEXAR (29),2014-10-03,1,482299,1
DALLAS (113),2014-10-03,1,482301,2
DALLAS (113),2014-10-05,1,482320,1
HARRIS (201),2014-10-05,2,482323,2
HARRIS (201),2014-10-05,1,482324,1
HARRIS (201),2014-10-05,1,482325,1
HARRIS (201),2014-10-05,1,482326,2
HARRIS (201),2014-10-06,1,482336,1
BEXAR (29),2014-10-07,1,482343,1
BEXAR (29),2014-10-07,1,482344,2
DALLAS (113),2014-10-07,1,482348,2
BEXAR (29),2014-10-08,1,482358,1
HARRIS (201),2014-10-09,1,482365,1
BEXAR (29),2014-10-10,1,482371,2
HARRIS (201),2014-10-10,1,482372,1
HARRIS (201),2014-10-10,1,482373,1
HARRIS (201),2014-10-10,1,482374,2
HARRIS (201),2014-10-10,1,482375,1
BEXAR (29),2014-10-11,1,482381,2
HARRIS (201),2014-10-11,1,482382,1
HARRIS (201),2014-10-11,1,482383,2
BEXAR (29),2014-10-11,2,482384,3
DALLAS (113),2014-10-12,1,482390,1
DALLAS (113),2014-10-12,1,482391,1
BEXAR (29),2014-10-13,2,482396,2
HARRIS (201),2014-10-13,1,482398,2
BEXAR (29),2014-10-14,1,482400,1
HARRIS (201),2014-10-14,1,482403,1
DALLAS (113),2014-10-16,1,482407,2
HARRIS (201),2014-10-16,1,482409,3
BEXAR (29),2014-10-17,1,482413,1
HARRIS (201),2014-10-17,1,482414,1
BEXAR (29),2014-10-18,1,482417,1
HARRIS (201),2014-10-18,1,482418,2
BEXAR (29),2014-10-19,1,482421,1
BEXAR (29),2014-10-19,1,482422,1
HARRIS (201),2014-10-25,1,482431,2
BEXAR (29),2014-08-02,1,482434,1
HARRIS (201),2014-10-14,1,482454,1
BEXAR (29),2014-10-15,1,482456,3
